Work,Input artifact,External evidence,Representation,Constraint mechanism,Localization,Repair generation,Minimum repair,Ambiguity handling,Exact source write-back,Multi-fault,EnergyPlus validation,Energy-result validation,Main objective,Overlap with IDFRepair,Remaining differentiation,Evidence level,Primary URL
"Yun & Seo 2026; Energy and Buildings 117786","ECO2-OD ECL2 model; 857 variables; 24 drawings","Modeling manual; codes; drawings; multimodal evidence; user query","Parsed tables/objects; vector-store RAG; multi-agent memories","Agent procedures; schema/manual retrieval; multimodal cross-check","Supervisor plus Manual Analyzer; Model Inspector; Evidence Extractor; Report Writer","Structured diagnostic/corrective report; no patched model","No","No finite alternatives or tie gate reported","No","52 injected errors of 23 types coexist; diagnosis not joint minimum repair","No; ECO2-OD","No","Evidence-backed semantic debugging","Direct BEM semantic debugging and multi-error diagnosis","External evidence/RAG/multimodal report versus deterministic IDF+IDD-only guarded repair","FULL_TEXT","https://doi.org/10.1016/j.enbuild.2026.117786"
"Wang et al. 2024; Energy and Buildings 115035","Revit/IFC4 BIM plus architectural IDF baseline","Geometry; IFC ports; manuals; drawings; asset data; schedules","Brick RDF knowledge graph; informative and BEM HVAC topology","Geometry relation checks; topology-quality rules; DFS flow traversal","Flags invalid links/components/terminal-space-system relations","Users correct graph links; derived graph generates/enriches IDF","No","No minimum/tie abstention","No existing-IDF patch","Many case issues; no exact joint oracle","EnergyPlus 9.5","Electrical/heating EUI compared with measurements","BIM2BEM HVAC generation","HVAC topology; graphs; EnergyPlus mapping","Upstream evidence-rich BIM generation versus existing-IDF internal repair","FULL_TEXT","https://doi.org/10.1016/j.enbuild.2024.115035"
"Wang et al. 2026; Applied Energy 127171","Imperfect federated IFC/BIM plus preliminary architectural IDF","IFC/geometry; manuals; drawings; BMS; bills; schedules","Brick/FSO RDF knowledge graph","SHACL/pySHACL hierarchical Terminal-Zone; Air Loop; Water Loop completeness","SHACL reports identify failing nodes/subgraphs","Graph enrichment and Ideal/Partial/Perfect BEM generation; demonstrated manual validation/editing","No general minimum repair","No equal-optimum safety gate","No source-IFC or existing-IDF exact patch","Many missing connections; no frozen joint exact oracle","EnergyPlus 23.2","Bills/BMS and completeness-level energy comparison","HVAC topology completeness and BIM2BEM enrichment","Closest topology validation/enrichment collision","Not target-free existing-IDF field repair; no source-span/non-target contract","FULL_TEXT","https://doi.org/10.1016/j.apenergy.2025.127171"
"Zhang et al. 2025; Energy and Buildings 115116","Natural-language description plus initial geometry/zones IDF","IDD and iterative EnergyPlus ERR","Four-agent workflow; object templates/current IDF","IDD fields/allowed values/object references plus runtime errors","ERR-guided class/object localization","LLM regenerates implicated IDF objects until error-free","No","No tie enumeration or abstention","Object-level update; no source-span guarantee","Limited injected/reference and end-to-end errors; no joint exact oracle","EnergyPlus 22.2","No energy-equivalence oracle","Agentic BEM generation and debugging","IDD use; IDF debugging; EnergyPlus loop","Generative stochastic repair versus finite deterministic relation repair","FULL_TEXT","https://doi.org/10.1016/j.enbuild.2024.115116"
"Jiang et al. 2024; EPlus-LLM","Natural-language model requests","Training/prompt data and EnergyPlus API","T5 sequence generation","Generated-input execution feedback","Generation rather than existing-fault localization","Generates EnergyPlus model content","NR; no minimum established","NR","No existing-source patch","NR","Yes","Abstract-level supported-case metrics","Natural-language automated BEM","Automated EnergyPlus model creation","No audited existing-IDF relation repair/unique-minimum contract","ABSTRACT_PLUS_REPOSITORY","https://doi.org/10.1016/j.apenergy.2024.123431"
"Jiang et al. 2025; EPlus-LLMv2","Natural-language complex cases and fixed companion IDF","Approx. 490k fine-tuning samples","LoRA fine-tuned text generation","Generated model execution","Generation rather than repair localization","Generates/appends model content","No formal minimum reported","No formal tie gate reported","No existing faulty-IDF patch","NR","EnergyPlus 9.6 in model card","Paper-attributed 402-test metrics","Scalable natural-language BEM generation","Complex IDF generation","Generation rather than restoration","ABSTRACT_PLUS_REPOSITORY","https://doi.org/10.1016/j.autcon.2025.106223"
"Lee & Yoon 2026; Energy and Buildings 117688","Urban building data","Legal standards; street-view imagery; structured expert knowledge","Knowledge-based multi-agent workflow","NR beyond abstract","Iterative debugging stated; details NR","Agentic IDF generation/debugging","NR","NR","NR","NR","Yes","Abstract reports 270 buildings; time/cost not exact repair","Automated BEM and simulation service","Knowledge-based agentic BEM/debugging","IDFRepair finite deterministic safety details not established by abstract","ABSTRACT_ONLY","https://doi.org/10.1016/j.enbuild.2026.117688"
"Li; Xu & Hong 2025/2026; EnergyPlus-MCP/workflow","Existing IDF; weather; user objectives","User/agent instructions; optional BEM/web knowledge","Eppy; NetworkX/Graphviz; MCP tools and JSON calls","Tool validation/topology inspection/EnergyPlus diagnostics","Tool-based inspection and validation","Agents invoke structured IDF edits and save variants","No","Human decision authority; no equal-minimum gate","Object serialization; no source-span guarantee","Workflow tasks; no frozen semantic fault oracle","EnergyPlus 25.1","Retrofit/variant energy simulations","Auditable agentic EnergyPlus workflows","Existing-IDF inspection/edit/run and HVAC graph visualization","No exact relation restoration/minimum/unique safety contract","FULL_TEXT","https://doi.org/10.1016/j.softx.2025.102367"
"Ahmetaj et al. 2025; TGDK 3(3)","RDF graph plus non-recursive SHACL shapes/targets","Supplied constraints and optional constants/costs","RDF/SHACL compiled to ASP/clingo","Formal SHACL validation semantics","Violations/targets represented in repair program","Enumerates additions/deletions and repaired graph","Cardinality/weighted minimum via #minimize","Multiple stable-model repairs; relaxed maximal target mode; no tie abstention","Turtle graph output; no IDF source-span preservation","Multiple violations/targets supported","No","No","Formal SHACL repair","Minimum constraint repair and alternative repairs","No EnergyPlus/IDD evidence or unique-minimum source safety","FULL_TEXT","https://doi.org/10.4230/TGDK.3.3.1"
"Lin et al. 2025; arXiv 2507.22419","Valid RDF graph; SHACL manifest; injected VIO; validation reports","Clean graph and known mutation truth","RDF/SHACL; SPARQL updates; includes Brick 1.3","SHACL validation and systematic violation-inducing operations","Validation results","LLMs generate SPARQL repairs","No edit-minimum objective","No equal-optimum abstention; some nested choices random","RDF update; no IDF source-span preservation","One VIO may contain multiple operations; interacting VIOs future work","No","Exact/relaxed graph isomorphism metrics","Systematic KG repair evaluation","Injected constraints; Brick HVAC; exact recovery","No EnergyPlus artifact semantics or guarded IDF repair","FORMAL_PREPRINT_FULL","https://arxiv.org/abs/2507.22419"
"Spinrath et al. 2026; PVLDB","Property graph plus restricted PG-Constraints","Constraints and optional weights","Property graph; error queries; witnesses; conflict hypergraph","Recursive denial-style PG constraints","Queries enumerate all violation witnesses","Delete nodes/edges/labels","Set-minimal; ILP weighted/cardinality optimum; greedy alternatives","Multiple repairs allowed; algorithm/weights select; no tie abstention","Graph deletion; no source artifact guarantee","Global repair across all detected errors/constraints","No","No","Scalable property-graph constraint restoration","Joint conflict graph and optimal repair","Deletion-only generic graph repair; no typed IDF field substitution","FULL_TEXT","https://doi.org/10.14778/3797919.3797929"
"Pachera et al. 2025; TODS","Property graph plus denial constraints and users","User choices","Repair dependency graph","Query-based violation detection","Dependency graph","User-centric distributed repairs","NR in audited abstract","User choices; details NR","No IDF source patch","NR","No","No","User-centric property-graph repair","Graph repair workflow","Not deterministic EnergyPlus internal-evidence restoration","ABSTRACT_ONLY","https://doi.org/10.1145/3709735"
"Terdalkar et al. 2025","Property graphs plus constraints/context","LLM/context knowledge","LLM property-graph repair","Constraint-based evaluation","LLM-assisted","Generative graph repairs","Repair cost compared empirically","No formal unique-minimum gate established","No IDF source patch","Generic graph cases","No","No","Empirical LLM graph repair","LLM graph repair","No EnergyPlus/IDD finite repair composition","FORMAL_PREPRINT_FULL","https://doi.org/10.1145/3735546.3735859"
